method,seed,task,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
cgsm_dual,7,baseline,2.0,-0.40660695265233515,-0.47647227326997693,-0.3877839213707461,-0.06986532061764178,-0.08868835189923086
cgsm_dual,11,baseline,0.5,-0.08492370570451022,-0.5148318350207505,-0.20713873256388032,-0.42990812931624023,-0.30769310245687015
cgsm_dual,11,baseline,1.0,-0.08492370570451022,-0.2885045222392077,-0.10134306157630785,-0.20358081653469748,-0.18716146066289985
cgsm_dual,11,baseline,1.5,-0.08492370570451022,-0.16963347789950173,-0.07128685563372746,-0.08470977219499151,-0.09834662226577427
cgsm_dual,11,baseline,2.0,-0.08492370570451022,-0.12402295546557898,-0.06270820864542938,-0.039099249761068766,-0.061314746820149604
cgsm_dual,23,baseline,0.5,-0.5039157890081406,-0.7279175830877215,-0.7742969025270382,-0.22400179407958087,0.046379319439316724
cgsm_dual,23,baseline,1.0,-0.5039157890081406,-0.46825443146059453,-0.5562697285700998,0.03566135754754607,0.08801529710950529
cgsm_dual,23,baseline,1.5,-0.5039157890081406,-0.441068977545579,-0.5237495683377118,0.0628468114625616,0.0826805907921328
cgsm_dual,23,baseline,2.0,-0.5039157890081406,-0.471414243013767,-0.5176220244865113,0.032501545994373604,0.04620778147274429
cgsm_dual,47,baseline,0.5,-0.47050873884558675,-0.24422850688441997,-0.5351627538701017,0.22628023196116678,0.2909342469856817
cgsm_dual,47,baseline,1.0,-0.47050873884558675,-0.3387662191132951,-0.4510163085916923,0.13174251973229167,0.11225008947839721
cgsm_dual,47,baseline,1.5,-0.47050873884558675,-0.38610765610819875,-0.44118931981484216,0.084401082737388,0.05508166370664341
cgsm_dual,47,baseline,2.0,-0.47050873884558675,-0.4538424358251801,-0.4392119715308773,0.01666630302040667,-0.014630464294302759
cgsm_dual,59,baseline,0.5,-0.047796157330274584,-0.5217881346867833,-0.14456109627271102,-0.4739919773565087,-0.3772270384140723
cgsm_dual,59,baseline,1.0,-0.047796157330274584,-0.2683454251679116,-0.05531969350679438,-0.220549267837637,-0.2130257316611172
cgsm_dual,59,baseline,1.5,-0.047796157330274584,-0.13290887704550472,-0.02821738562274733,-0.08511271971523013,-0.10469149142275738
cgsm_dual,59,baseline,2.0,-0.047796157330274584,-0.12790348786401262,-0.025952910387802126,-0.08010733053373803,-0.1019505774762105
cgsm_dual,71,baseline,0.5,-0.5125563412606716,-0.8705142861776833,-0.5567882132583192,-0.3579579449170117,-0.31372607291936416
cgsm_dual,71,baseline,1.0,-0.5125563412606716,-0.6804034018126792,-0.49089407412719654,-0.1678470605520076,-0.18950932768548268
cgsm_dual,71,baseline,1.5,-0.5125563412606716,-0.5992671719198809,-0.48244810857713016,-0.08671083065920926,-0.11681906334275072
cgsm_dual,71,baseline,2.0,-0.5125563412606716,-0.5992416981534516,-0.47440481115989275,-0.08668535689278001,-0.12483688699355888
cgsm_dual,89,baseline,0.5,-0.1223150530681014,-0.33164342968902866,-0.20916010223974496,-0.20932837662092724,-0.1224833274492837
cgsm_dual,89,baseline,1.0,-0.1223150530681014,-0.2579370360766887,-0.14033286182940327,-0.1356219830085873,-0.11760417424728545
cgsm_dual,89,baseline,1.5,-0.1223150530681014,-0.15186339119178388,-0.12106734192428843,-0.029548338123682474,-0.03079604926749545
cgsm_dual,89,baseline,2.0,-0.1223150530681014,-0.1411441381953405,-0.1143566223281997,-0.01882908512723909,-0.0267875158671408
