method,seed,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
finetune,23,1.0,24.523931226311625,27.134270391125586,24.778188282874254,2.610339164813965,2.356082108251333
finetune,23,1.5,24.523931226311625,26.27316763705349,24.7334003902618,1.7492364107418659,1.5397672467916883
finetune,23,2.0,24.523931226311625,25.787524862055797,24.684482152895207,1.2635936357441697,1.1030427091605879
finetune,47,0.5,17.32681603463292,22.616242641829466,17.537425690432464,5.289426607196546,5.078816951397002
finetune,47,1.0,17.32681603463292,20.515866896117217,17.578500033097765,3.1890508614842963,2.9373668630194514
finetune,47,1.5,17.32681603463292,19.47849175286122,17.54809851605673,2.151675718228298,1.930393236804489
finetune,47,2.0,17.32681603463292,18.972960919843565,17.507726545296133,1.6461448852106422,1.4652343745474297
finetune,59,0.5,17.352812798020246,24.114436699345248,17.71680101430809,6.761623901325004,6.397635685037156
finetune,59,1.0,17.352812798020246,21.646709135395184,17.74189423082288,4.2938963373749415,3.904814904572304
finetune,59,1.5,17.352812798020246,20.340057646171903,17.654196576032014,2.9872448481516565,2.685861070139885
finetune,59,2.0,17.352812798020246,19.691758075360276,17.615874425764975,2.338945277340031,2.0758836495953004
finetune,71,0.5,16.635204686632754,24.12406924592278,17.028427704327374,7.488864559290027,7.095641541595407
finetune,71,1.0,16.635204686632754,21.01928368195969,16.98983349414905,4.384078995326936,4.029450187810639
finetune,71,1.5,16.635204686632754,19.579424080033682,16.896380534752996,2.944219393400928,2.683043545280684
finetune,71,2.0,16.635204686632754,18.856188244400016,16.839017450141966,2.220983557767263,2.0171707942580475
finetune,89,0.5,23.78871559173614,28.971212379091707,24.120600605146656,5.18249678735557,4.850611773945053
finetune,89,1.0,23.78871559173614,27.46373450464809,24.175083351348825,3.675018912911953,3.288651153299263
finetune,89,1.5,23.78871559173614,26.489583127184055,24.100460611808437,2.700867535447918,2.3891225153756204
finetune,89,2.0,23.78871559173614,26.006558424142003,24.049362588480044,2.217842832405864,1.9571958356619572
finetune,107,0.5,13.25575552192554,19.353694617427678,13.572793887766002,6.097939095502137,5.780900729661676
finetune,107,1.0,13.25575552192554,17.04421677844278,13.570981447336516,3.7884612565172433,3.473235331106268
finetune,107,1.5,13.25575552192554,15.833046374883859,13.497410757087646,2.5772908529583196,2.335635617796212
finetune,107,2.0,13.25575552192554,15.234162255342005,13.459838565289857,1.9784067334164661,1.7743236900521477
gss_adapted,7,0.5,-0.25377799651622773,-0.34084729761709454,-0.2783550541379676,-0.08706930110086682,-0.06249224347912696
gss_adapted,7,1.0,-0.25377799651622773,-0.2568879372312113,-0.2697740495261307,-0.003109940714983572,0.012886112294919427
gss_adapted,7,1.5,-0.25377799651622773,-0.2727653344451107,-0.26347661343577167,-0.018987337928883,-0.009288721009339019
gss_adapted,7,2.0,-0.25377799651622773,-0.2790111536841159,-0.2635316303751435,-0.025233157167888202,-0.015479523308972454
gss_adapted,11,0.5,-0.2956096092805266,-0.2718433882459371,-0.34836203192058324,0.02376622103458954,0.07651864367464616
gss_adapted,11,1.0,-0.2956096092805266,-0.2272164600261294,-0.31233158425805485,0.06839314925439724,0.08511512423192545
gss_adapted,11,1.5,-0.2956096092805266,-0.2726882931801517,-0.3099203925781511,0.022921316100374938,0.03723209939799944
gss_adapted,11,2.0,-0.2956096092805266,-0.28597089322820024,-0.3060003884114406,0.009638716052326385,0.020029495183240393
gss_adapted,23,0.5,-0.3608047326438129,-0.4843238724401657,-0.4265848879598672,-0.12351913979635283,-0.05773898448029848
gss_adapted,23,1.0,-0.3608047326438129,-0.4148162125346352,-0.38679856369710885,-0.0540114798908223,-0.028017648837526297
gss_adapted,23,1.5,-0.3608047326438129,-0.42532391931278485,-0.37751641594712143,-0.064519186668972,-0.04780750336566347
gss_adapted,23,2.0,-0.3608047326438129,-0.43394061279361107,-0.37494833988342,-0.07313588014979822,-0.05899227291019114
