method,seed,task,stratum_name,stratum_n,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
reservoir,89,alt180,within_3s,656,-0.22068218871951104,0.5608098099871379,-0.2505425278800945,0.781491998706649,0.8113523378672325,,
reservoir,89,alt180,within_5s,700,-0.22068218871951104,0.5405049061775208,-0.24099263118114883,0.7611870948970318,0.7814975373586697,,
reservoir,89,alt180,within_10s,802,-0.22068218871951104,0.5077537199356906,-0.22280898853336834,0.7284359086552017,0.7305627084690589,,
reservoir,89,alt180,ongoing,566,-0.22068218871951104,0.5636546296913295,-0.2847455040141534,0.7843368184108406,0.848400133705483,0.4359073215772056,0.12774730811412394
reservoir,89,alt180,new_0_3s,90,-0.22068218871951104,0.5429190549585554,-0.03544381130368048,0.7636012436780665,0.5783628662622359,0.6767174122348133,-0.13379835727625788
reservoir,89,alt180,new_3_5s,44,-0.22068218871951104,0.23777724937959152,-0.09861235312413928,0.45845943809910256,0.3363896025037308,0.578476827672409,-0.3406995782928175
reservoir,89,alt180,new_5_10s,102,-0.22068218871951104,0.2829906770996019,-0.09801928408781596,0.503672865819113,0.38100996118741787,0.7268371750686886,-0.4438464979690867
reservoir,89,alt180,no_entry_10s,1198,-0.22068218871951104,-0.7083329389210734,-0.21925840453694545,-0.48765075020156234,-0.48907453438412796,,
reservoir,107,alt180,within_3s,656,-0.792463840290904,-0.49394301661267515,-0.8030241340363399,0.29852082367822885,0.30908111742366473,,
reservoir,107,alt180,within_5s,700,-0.792463840290904,-0.453057764342853,-0.787987926456874,0.339406075948051,0.334930162114021,,
reservoir,107,alt180,within_10s,802,-0.792463840290904,-0.37052318580132765,-0.7683524052586405,0.42194065448957635,0.3978292194573128,,
reservoir,107,alt180,ongoing,566,-0.792463840290904,-0.5189731416980286,-0.8404614379950913,0.27349069859287545,0.32148829629706277,-0.4646240977916555,-0.054349043906373073
reservoir,107,alt180,new_0_3s,90,-0.792463840290904,-0.3365313410758972,-0.5675850891401911,0.4559324992150068,0.2310537480642939,-0.1580269529212419,-0.17850438815465533
reservoir,107,alt180,new_3_5s,44,-0.792463840290904,0.1565041785890406,-0.5638117407266567,0.9489680188799445,0.7203159193156974,-0.02713952983017863,0.18364370841921923
reservoir,107,alt180,new_5_10s,102,-0.792463840290904,0.1958905885032579,-0.6335988284080183,0.9883544287941619,0.8294894169112762,-0.18397833908968844,0.3798689275929463
reservoir,107,alt180,no_entry_10s,1198,-0.792463840290904,-1.0749316240143099,-0.8086052183342055,-0.28246778372340586,-0.26632640568010435,,
gss_adapted,7,alt180,within_3s,656,-0.8715386215746402,-0.5885035749070529,-0.8946549524828631,0.2830350466675874,0.30615137757581024,,
gss_adapted,7,alt180,within_5s,700,-0.8715386215746402,-0.5641337989909309,-0.8922594344393823,0.3074048225837094,0.3281256354484514,,
gss_adapted,7,alt180,within_10s,802,-0.8715386215746402,-0.5126762462970325,-0.8745544706124316,0.3588623752776078,0.3618782243153992,,
gss_adapted,7,alt180,ongoing,566,-0.8715386215746402,-0.6272149855804107,-0.9057242867123456,0.24432363599422957,0.27850930113193495,-0.5439715619350026,-0.08324342364540804
gss_adapted,7,alt180,new_0_3s,90,-0.8715386215746402,-0.34505181445015803,-0.8250411394396745,0.5264868071244821,0.47998932498951646,-0.5001413400549661,0.1550895256048081
