method,seed,stratum_name,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
dualls_adapted,23,new_0_3s,-0.1518256914153695,-0.06483921409446361,-0.18997632379337004,0.0869864773209059,0.1251371096989064,-0.11059318585241455,0.045753971757950956
dualls_adapted,23,new_3_5s,-0.1518256914153695,0.16613597346413733,-0.16401018830845787,0.31796166487950683,0.3301461617725952,-0.057467214550712464,0.22360318801484977
dualls_adapted,23,new_5_10s,-0.1518256914153695,0.05993958535775088,-0.06501223107084193,0.2117652767731204,0.12495181642859281,0.05341667392160515,0.006522911436145734
dualls_adapted,23,no_entry_10s,-0.1518256914153695,-0.20660543204687354,-0.1472826369031627,-0.05477974063150404,-0.05932279514371084,,
dualls_adapted,23,ongoing,-0.1518256914153695,-0.11354254545156577,-0.17770775848692583,0.03828314596380378,0.06416521303536007,-0.09100227735514994,-0.022540268096415794
dualls_adapted,23,within_10s,-0.1518256914153695,-0.06981475986225272,-0.16176876567171333,0.08201093155311678,0.09195400580946063,,
dualls_adapted,23,within_3s,-0.1518256914153695,-0.11003257295041076,-0.17902531955170464,0.04179311846495874,0.06899274660129384,,
dualls_adapted,23,within_5s,-0.1518256914153695,-0.09193829295667463,-0.17779650068422675,0.059887398458694875,0.08585820772755215,,
dualls_adapted,47,new_0_3s,-0.1418491678878665,0.08112891225658356,-0.14986262608570128,0.22297808014445009,0.23099153834228484,-0.012222800018273815,0.09335171227485736
dualls_adapted,47,new_3_5s,-0.1418491678878665,0.11099037237298717,-0.16392057192020815,0.25283954026085365,0.2749109442931953,-0.032812849618157225,0.1438032219911444
dualls_adapted,47,new_5_10s,-0.1418491678878665,0.02449516738842849,-0.04654270003844124,0.166344335276295,0.07103786742686974,0.10675257465296906,-0.08225740726454055
dualls_adapted,47,no_entry_10s,-0.1418491678878665,-0.24650800812419688,-0.1448002717467392,-0.10465884023633039,-0.10170773637745764,,
dualls_adapted,47,ongoing,-0.1418491678878665,-0.03118503913403987,-0.16188205757672003,0.11066412875382663,0.13069701844268014,-0.02435922370785897,-0.006825815426180904
dualls_adapted,47,within_10s,-0.1418491678878665,-0.004454284043606071,-0.14440150998231222,0.1373948838442604,0.13994722593870618,,
dualls_adapted,47,within_3s,-0.1418491678878665,-0.016978873710427066,-0.15994527159262886,0.12487029417743942,0.14296639788220178,,
dualls_adapted,47,within_5s,-0.1418491678878665,-0.008371212867061783,-0.15982418063471834,0.13347795502080473,0.15145296776765657,,
dualls_adapted,59,new_0_3s,-0.08499855443313718,0.0940086807748591,-0.04185706196195748,0.17900723520799627,0.13586574273681656,0.023062877082735127,0.07094580369212397
dualls_adapted,59,new_3_5s,-0.08499855443313718,0.1525519337779828,-0.07304235306788154,0.23755048821112,0.22559428684586433,-0.04502635380228547,0.19757828758026824
dualls_adapted,59,new_5_10s,-0.08499855443313718,0.04767622737228131,-0.030364692307862477,0.1326747818054185,0.07804091968014379,0.05044109248931068,-0.0027648651170293567
dualls_adapted,59,no_entry_10s,-0.08499855443313718,-0.10075213737422173,-0.0790642192245262,-0.015753582941084532,-0.021687918149695506,,
dualls_adapted,59,ongoing,-0.08499855443313718,-0.13011159859651644,-0.11555595215460676,-0.04511304416337924,-0.014555646441909676,-0.1031333850201909,-0.026978213576325544
dualls_adapted,59,within_10s,-0.08499855443313718,-0.06514756877655739,-0.09378273052774042,0.019850985656579778,0.028635161751183035,,
dualls_adapted,59,within_3s,-0.08499855443313718,-0.1016042057316732,-0.10630337026060084,-0.01660565129853603,0.004699164528927624,,
dualls_adapted,59,within_5s,-0.08499855443313718,-0.08372609045251936,-0.10403135754083734,0.0012724639806177996,0.02030526708831796,,
dualls_adapted,71,new_0_3s,-0.14738837615847586,0.39424118019706145,-0.08049923062656283,0.5416295563555373,0.47474041082362434,-0.013761697113310056,0.4080028773103715
