method,seed,task,initial_tp,initial_fn,initial_fp,initial_tn,initial_fnr,initial_fpr,final_tp,final_fn,final_fp,final_tn,final_fnr,final_fpr,delta_fnr,delta_fpr
gss_adapted,23,speed15,524,14,12,787,0.026022304832713755,0.015018773466833541,525,13,12,787,0.024163568773234202,0.015018773466833541,-0.001858736059479553,0.0
gss_adapted,23,alt180,596,9,11,653,0.01487603305785124,0.016566265060240965,597,8,10,654,0.013223140495867768,0.015060240963855422,-0.0016528925619834715,-0.0015060240963855435
gss_adapted,23,speed10,536,13,19,839,0.023679417122040074,0.022144522144522144,534,15,16,842,0.0273224043715847,0.018648018648018648,0.003642987249544625,-0.003496503496503496
gss_adapted,47,baseline,627,10,17,534,0.015698587127158554,0.030852994555353903,628,9,17,534,0.0141287284144427,0.030852994555353903,-0.0015698587127158537,0.0
gss_adapted,47,wind5,637,13,22,431,0.02,0.04856512141280353,640,10,16,437,0.015384615384615385,0.03532008830022075,-0.004615384615384615,-0.01324503311258278
gss_adapted,47,speed15,525,13,14,785,0.024163568773234202,0.017521902377972465,525,13,11,788,0.024163568773234202,0.01376720901126408,0.0,-0.003754693366708384
gss_adapted,47,alt180,598,7,10,654,0.011570247933884297,0.015060240963855422,599,6,10,654,0.009917355371900827,0.015060240963855422,-0.0016528925619834697,0.0
gss_adapted,47,speed10,533,16,19,839,0.029143897996357013,0.022144522144522144,535,14,20,838,0.025500910746812388,0.023310023310023312,-0.003642987249544625,0.0011655011655011677
gss_adapted,59,baseline,625,12,15,536,0.018838304552590265,0.02722323049001815,624,13,17,534,0.02040816326530612,0.030852994555353903,0.0015698587127158554,0.0036297640653357548
gss_adapted,59,wind5,639,11,21,432,0.016923076923076923,0.046357615894039736,640,10,19,434,0.015384615384615385,0.04194260485651214,-0.0015384615384615372,-0.0044150110375275955
gss_adapted,59,speed15,526,12,13,786,0.022304832713754646,0.016270337922403004,523,15,9,790,0.027881040892193308,0.011264080100125156,0.005576208178438662,-0.005006257822277848
gss_adapted,59,alt180,599,6,8,656,0.009917355371900827,0.012048192771084338,598,7,11,653,0.011570247933884297,0.016566265060240965,0.0016528925619834697,0.004518072289156627
gss_adapted,59,speed10,534,15,16,842,0.0273224043715847,0.018648018648018648,533,16,16,842,0.029143897996357013,0.018648018648018648,0.0018214936247723142,0.0
gss_adapted,71,baseline,625,12,14,537,0.018838304552590265,0.025408348457350273,621,16,12,539,0.02511773940345369,0.021778584392014518,0.006279434850863425,-0.0036297640653357548
gss_adapted,71,wind5,640,10,19,434,0.015384615384615385,0.04194260485651214,636,14,17,436,0.021538461538461538,0.037527593818984545,0.006153846153846152,-0.0044150110375275955
gss_adapted,71,speed15,524,14,12,787,0.026022304832713755,0.015018773466833541,523,15,12,787,0.027881040892193308,0.015018773466833541,0.001858736059479553,0.0
gss_adapted,71,alt180,598,7,11,653,0.011570247933884297,0.016566265060240965,595,10,9,655,0.01652892561983471,0.01355421686746988,0.004958677685950414,-0.0030120481927710854
gss_adapted,71,speed10,533,16,19,839,0.029143897996357013,0.022144522144522144,532,17,21,837,0.030965391621129327,0.024475524475524476,0.0018214936247723142,0.002331002331002332
gss_adapted,89,baseline,624,13,15,536,0.02040816326530612,0.02722323049001815,623,14,15,536,0.02197802197802198,0.02722323049001815,0.001569858712715859,0.0
gss_adapted,89,wind5,639,11,20,433,0.016923076923076923,0.04415011037527594,639,11,17,436,0.016923076923076923,0.037527593818984545,0.0,-0.006622516556291397
gss_adapted,89,speed15,524,14,12,787,0.026022304832713755,0.015018773466833541,525,13,10,789,0.024163568773234202,0.012515644555694618,-0.001858736059479553,-0.0025031289111389233
gss_adapted,89,alt180,597,8,11,653,0.013223140495867768,0.016566265060240965,597,8,11,653,0.013223140495867768,0.016566265060240965,0.0,0.0
gss_adapted,89,speed10,536,13,14,844,0.023679417122040074,0.016317016317016316,535,14,14,844,0.025500910746812388,0.016317016317016316,0.0018214936247723142,0.0
gss_adapted,107,baseline,626,11,13,538,0.01726844583987441,0.023593466424682397,623,14,15,536,0.02197802197802198,0.02722323049001815,0.00470957613814757,0.0036297640653357513
