method,seed,task,n,cpa_n,overall,cpa,initial_overall_fde,initial_cpa_fde,random,cpa_minus_random,permutation_p_random,matched,cpa_minus_matched,permutation_p_matched,cpa_minus_overall
finetune,107,wind5,2000,986,5.40918147110194,7.425076992226421,11.756010153777897,11.272773540769581,5.429667121553127,1.995409870673294,0.000999000999000999,5.493746394654412,1.9313305975720088,0.000999000999000999,2.015895521124481
finetune,107,speed15,2000,702,19.5765567458719,26.721222756595015,9.201953783765434,9.684684138692003,20.458040147464054,6.263182609130961,0.000999000999000999,20.544580794305823,6.176641962289192,0.000999000999000999,7.144666010723114
finetune,107,alt180,2000,802,-0.25787741562724115,-0.006937445770772615,12.12542644289136,11.812979996130057,-0.24316345019726546,0.23622600442649283,0.011988011988011988,-0.23854291526079663,0.231605469490024,0.006993006993006993,0.25093996985646855
finetune,107,speed10,2000,674,38.00790807839856,44.5978728206469,8.332572065148502,8.284795716979737,38.17500070150058,6.422872119146319,0.000999000999000999,38.443231525260266,6.154641295386632,0.000999000999000999,6.589964742248341
reservoir,7,baseline,2000,887,0.3094001135379076,0.44730660917390697,12.746900472715497,12.066066813778043,0.23777357729890086,0.2095330318750061,0.09490509490509491,0.2444918330657178,0.20281477610818915,0.0979020979020979,0.13790649563599938
reservoir,7,wind5,2000,986,0.25508968684077266,0.3176585108223116,12.125932710781694,11.97191735334377,0.24630424659627853,0.07135426422603308,0.5204795204795205,0.2226782128279462,0.09498029799436541,0.3756243756243756,0.06256882398153896
reservoir,7,speed15,2000,702,0.37287837186455725,0.607325003230334,9.291927780270576,9.957394850007828,0.32187686577176844,0.28544813745856557,0.01998001998001998,0.2595022569854398,0.3478227462448942,0.003996003996003996,0.23444663136577676
reservoir,7,alt180,2000,802,-0.1121730255484581,-0.02268470474460773,11.711314649119974,11.68660058671994,-0.10230918128665473,0.07962447654204699,0.5104895104895105,-0.14452004366935203,0.1218353389247443,0.3116883116883117,0.08948832080385036
reservoir,7,speed10,2000,674,0.2245069096237421,0.4082676070114979,8.363755682423712,8.189547636167585,0.22104006598664058,0.1872275410248573,0.005994005994005994,0.25924953638765036,0.14901807062384753,0.027972027972027972,0.1837606973877558
reservoir,11,baseline,2000,887,0.9578209414035082,1.722780891510384,12.441253020644188,11.81734153672028,0.9374845809762873,0.7852963105340967,0.000999000999000999,0.9634112688413403,0.7593696226690436,0.000999000999000999,0.7649599501068758
reservoir,11,wind5,2000,986,0.47336291697621347,0.7272283434263349,11.798132811442018,11.386271505218007,0.4698519977385718,0.25737634568776313,0.025974025974025976,0.4993801128472603,0.2278482305790746,0.028971028971028972,0.25386542645012145
reservoir,11,speed15,2000,702,0.7676972570642829,1.727698722031721,9.298684009596705,9.962797827190823,0.7500846944090931,0.977614027622628,0.000999000999000999,0.7771642074070471,0.950534514624674,0.000999000999000999,0.9600014649674381
reservoir,11,alt180,2000,802,-0.4081854830831289,0.11143731197662782,11.969417884618045,11.676094866452967,-0.3728960432055845,0.4843333551822123,0.000999000999000999,-0.3807164237315524,0.4921537357081802,0.000999000999000999,0.5196227950597567
reservoir,11,speed10,2000,674,0.4596084547117352,0.8923993654084842,8.299247169189155,8.259838678318598,0.4544080648244119,0.4379913005840723,0.000999000999000999,0.46996125681074175,0.42243810859774245,0.000999000999000999,0.43279091069674896
reservoir,23,baseline,2000,887,-0.5112621717453003,-0.5718740014844441,12.94613571678102,12.342026013397982,-0.5381005162228045,-0.03377348526163959,0.8031968031968032,-0.5245592712272023,-0.047314730257241866,0.6953046953046953,-0.06061182973914381
reservoir,23,wind5,2000,986,0.09482652500271797,-0.03230288425275327,11.960289284080266,11.55792628237732,0.09581892315175697,-0.12812180740451024,0.15384615384615385,0.07653645189044478,-0.10883933614319805,0.2097902097902098,-0.12712940925547123
reservoir,23,speed15,2000,702,-0.08458380506932736,-0.02206846893343151,9.379453538626432,9.916984017588135,-0.09983259906448014,0.07776413013104863,0.3966033966033966,-0.15622413765950596,0.13415566872607446,0.13486513486513488,0.06251533613589585
